date,datetime,Visites_by_hour
01/03/2014,01/03/2014 10,9
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,9
01/03/2014,01/03/2014 10,20
01/03/2014,01/03/2014 10,17
01/03/2014,01/03/2014 10,8
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,9
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,22
01/03/2014,01/03/2014 10,10
01/03/2014,01/03/2014 10,13
01/03/2014,01/03/2014 10,19
01/03/2014,01/03/2014 10,17
01/03/2014,01/03/2014 10,16
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,10
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,7
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,12
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,19
01/03/2014,01/03/2014 10,13
01/03/2014,01/03/2014 10,12
01/03/2014,01/03/2014 10,16
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,13
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,16
01/03/2014,01/03/2014 10,13
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,20
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,12
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,18
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,20
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,18
01/03/2014,01/03/2014 10,14
01/03/2014,01/03/2014 10,20
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,8
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,19
01/03/2014,01/03/2014 11,21
01/03/2014,01/03/2014 11,9
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,14
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,4
01/03/2014,01/03/2014 11,14
01/03/2014,01/03/2014 11,20
01/03/2014,01/03/2014 11,17
01/03/2014,01/03/2014 11,9
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,19
01/03/2014,01/03/2014 11,11
01/03/2014,01/03/2014 11,15
01/03/2014,01/03/2014 11,24
01/03/2014,01/03/2014 11,11
01/03/2014,01/03/2014 11,17
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,20
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,15
01/03/2014,01/03/2014 11,14
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,19
01/03/2014,01/03/2014 11,17
01/03/2014,01/03/2014 11,17
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,15
01/03/2014,01/03/2014 11,11
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,15
01/03/2014,01/03/2014 11,19
01/03/2014,01/03/2014 11,15
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,15
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,8
01/03/2014,01/03/2014 11,11
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,17
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,9
