"hour","date","Visite.gain","TypeWeekDay","length","channel","DAYPART","MMDAYPART","ChaineEcranWD","ChaineDaypartWD","ChaineMMDaypartWD","crea","budgetbrut","budgetnet","grp","grpref","tav","tavtap","EmavShort","month","dayofweek","consumption","nthweek","festival","gta","visitByhour"
11,"2014-03-25",104,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",3078,554.04,0.35,0.33,"ACC","SPLIT","LA PETITE ",3,3,67242,"12",0,"65","0.0502842677"
11,"2014-04-10",66,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2835,510.3,1,0.31,"ACC","SPLIT","LA PETITE ",4,5,58036,"14",0,"66","0.0502842677"
11,"2014-04-04",109,"WD",20,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","effet sculptant",2106,379.08,0.51,0.42,"ACC","ACC","LA PETITE ",4,6,60321,"13",0,"71","0.0502842677"
12,"2014-04-27",101,"WE",20,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1230WE","PuissanceTNTDAYWE","PuissanceTNTDAY1213WE","effet sculptant",1944,349.92,0.52,0.34,"J","SPLIT","QUOI DE NE",4,1,50208,"16",0,"96","0.0437506265"
12,"2014-04-21",122,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","effet sculptant",5265,947.7,1.33,0.57,"ACC","ACC","LA PETITE ",4,2,50072,"16",1,"91","0.0437506265"
12,"2014-04-07",167,"WD",20,"M6","DAY","DAY1213","M61250WD","M6DAYWD","M6DAY1213WD","effet sculptant",5265,947.7,0.94,0.86,"EBD","SPLIT","PLUS VITE ",4,2,56263,"14",0,"69","0.0437506265"
12,"2014-03-24",165,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","effet sculptant",5346,962.28,1.37,0.64,"ACB","ACB","SCENES DE ",3,2,64363,"12",0,"60","0.0437506265"
12,"2014-04-28",83,"WD",12,"M6","DAY","DAY1213","M61240WD","M6DAYWD","M6DAY1213WD","la chaussure pour toutes les morpho'",3420,615.6,0.93,0.58,"ACC","SPLIT","LA PETITE ",4,2,58983,"17",0,"69","0.0437506265"
12,"2014-04-18",81,"WD",12,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1220WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","la lingerie pour toutes les morpho",843.6,151.848,0.11,0.27,"J","J","W9 HITS+UN",4,6,57620,"15",2,"75","0.0437506265"
12,"2014-03-20",173,"WD",12,"M6","DAY","DAY1213","M61240WD","M6DAYWD","M6DAY1213WD","la chaussure pour toutes les morpho'",3306,595.08,0.72,0.78,"ACB","SPLIT","SCENES DE ",3,5,58851,"11",0,"70","0.0437506265"
